time_period,rainfall,mean_temperature,disease_cases,population,location
2020-09-07/2020-09-13,0.006902800729923787,299.5488663936012,70.0,100956,chinandega
2020-09-14/2020-09-20,0.007029764782643957,299.6624896972491,94.0,100409,chinandega
2020-09-21/2020-09-27,0.013532679552909835,299.0958188887502,87.0,100971,chinandega
2020-09-28/2020-10-04,0.014802498625089868,298.47100818471944,102.0,100596,chinandega
2020-10-05/2020-10-11,0.005216153118617985,299.943044204831,155.0,100327,chinandega
2020-10-12/2020-10-18,0.01473641509441086,298.856246714824,138.0,100072,chinandega
2020-10-19/2020-10-25,0.014235260292099523,298.7046489296123,140.0,100016,chinandega
2020-10-26/2020-11-01,0.025958557081266216,297.85274126585847,118.0,100719,chinandega
2020-11-02/2020-11-08,0.016805561836847942,298.3589657370722,157.0,100039,chinandega
2020-11-09/2020-11-15,0.021603343570322963,298.5906725402342,192.0,100782,chinandega
2020-11-16/2020-11-22,0.0037940172403577084,299.5164230842904,174.0,100002,chinandega
2020-11-23/2020-11-29,0.0003056327934294577,299.6812188253944,141.0,100381,chinandega
2020-11-30/2020-12-06,2.6635943647887598e-05,299.08851884683844,133.0,100174,chinandega
2020-12-07/2020-12-13,0.000479960013681689,299.78410825449083,89.0,100855,chinandega
2020-12-14/2020-12-20,9.355260113099213e-07,300.3657441426948,49.0,100249,chinandega
2020-12-21/2020-12-27,0.00034179191550526967,299.83987807994504,,100580,chinandega
2020-12-28/2021-01-03,0.0002558289389341552,300.5882864139526,117.0,100050,chinandega
2021-01-04/2021-01-10,7.308960481455106e-06,301.15865312023624,63.0,100136,chinandega
2021-01-11/2021-01-17,8.387291892140141e-05,301.34340160451166,78.0,100779,chinandega
2021-01-18/2021-01-24,1.479085089010413e-06,301.43455374867955,76.0,100262,chinandega
2021-01-25/2021-01-31,1.5109073222514977e-06,301.20539004776975,79.0,100545,chinandega
2021-02-01/2021-02-07,6.698481130324061e-05,301.69458820536164,97.0,100861,chinandega
2021-02-08/2021-02-14,0.0003061513574297379,301.4720684230299,92.0,100971,chinandega
2021-02-15/2021-02-21,6.589680655405611e-05,302.4196042185329,88.0,100764,chinandega
2021-02-22/2021-02-28,7.274242073320365e-07,302.5423288191278,97.0,100354,chinandega
2021-03-01/2021-03-07,9.798555805380545e-05,302.6832059570107,100.0,100369,chinandega
2021-03-08/2021-03-14,0.0019579899409751063,301.8961552681622,80.0,100807,chinandega
2021-03-15/2021-03-21,3.411827268271963e-05,302.04174019642585,84.0,100117,chinandega
2021-03-22/2021-03-28,1.802771029298565e-06,303.89453707813914,70.0,100687,chinandega
2021-03-29/2021-04-04,0.0003623035076105468,302.992327526227,85.0,100541,chinandega
2021-04-05/2021-04-11,0.0008048308874700353,302.76895578008055,79.0,100241,chinandega
2021-04-12/2021-04-18,0.0078010180812602544,301.0860105620166,73.0,100298,chinandega
2021-04-19/2021-04-25,0.0003589375756255528,302.08949679670707,72.0,100008,chinandega
2021-04-26/2021-05-02,0.005593782997985607,300.73377692192105,76.0,100465,chinandega
2021-05-03/2021-05-09,0.0011959259851164609,303.129675484817,91.0,100791,chinandega
2021-05-10/2021-05-16,0.001262593953849705,302.97321970678183,75.0,100735,chinandega
2021-05-17/2021-05-23,0.0009010460903016575,304.1308719719419,89.0,100610,chinandega
2021-05-24/2021-05-30,0.0017419781164729397,303.5124227586851,74.0,100965,chinandega
2021-05-31/2021-06-06,0.012270926352633785,301.1294629197252,65.0,100966,chinandega
2021-06-07/2021-06-13,0.02650988949481795,299.0026364359813,64.0,100484,chinandega
2021-06-14/2021-06-20,0.006376517132705082,300.39118244403136,87.0,100462,chinandega
2021-06-21/2021-06-27,0.011266061749765155,299.6204244979634,66.0,100531,chinandega
2021-06-28/2021-07-04,0.005390765261097835,300.4795425474332,72.0,100967,chinandega
2021-07-05/2021-07-11,0.002894747523266626,301.35601742874616,61.0,100698,chinandega
2021-07-12/2021-07-18,0.00022279296810290286,302.6976982598423,85.0,100282,chinandega
2021-07-19/2021-07-25,0.0050817557511444065,301.4670040896636,60.0,100636,chinandega
2021-07-26/2021-08-01,0.01230196010564597,301.1052371926587,69.0,100873,chinandega
2021-08-02/2021-08-08,0.0039566530876605785,301.0322798531061,74.0,100561,chinandega
2021-08-09/2021-08-15,0.016159719150482175,299.5499070268586,72.0,100315,chinandega
2021-08-16/2021-08-22,0.014514742359529771,299.5480769738107,73.0,100874,chinandega
2021-08-23/2021-08-29,0.009625086335996975,299.0638682976408,59.0,100372,chinandega
2021-08-30/2021-09-05,0.018065590141342756,299.2750918840768,50.0,100665,chinandega
2021-09-06/2021-09-12,0.010309476716402404,299.2855035333537,42.0,100255,chinandega
2021-09-13/2021-09-19,0.007962883947674844,300.200328840174,42.0,100496,chinandega
2021-09-20/2021-09-26,0.0029722655282776417,299.97670292664975,34.0,100492,chinandega
2021-09-27/2021-10-03,0.005389001203498695,300.2897233649717,32.0,100143,chinandega
2021-10-04/2021-10-10,0.005318657550996395,300.096963124258,41.0,100345,chinandega
2021-10-11/2021-10-17,0.015744697468067448,299.06807365170204,49.0,100345,chinandega
2021-10-18/2021-10-24,0.0029103498889419366,299.8749801002289,36.0,100711,chinandega
2021-10-25/2021-10-31,0.002262243722075466,299.6258549049091,54.0,100939,chinandega
2021-11-01/2021-11-07,0.0001474700684820793,300.02732179833714,72.0,100082,chinandega
2021-11-08/2021-11-14,0.0005858160146623619,300.5861084134809,91.0,100434,chinandega
2021-11-15/2021-11-21,0.00028266562482624053,300.80082608576845,63.0,100753,chinandega
2021-11-22/2021-11-28,1.2403119342918011e-05,301.1350169625551,64.0,100895,chinandega
2021-11-29/2021-12-05,3.682390813033069e-06,301.6808807168758,43.0,100385,chinandega
2021-12-06/2021-12-12,0.00031064167157466476,301.54958986888096,52.0,100773,chinandega
2021-12-13/2021-12-19,0.0007806012032233278,301.2108493078785,44.0,100601,chinandega
2021-12-20/2021-12-26,9.983438753463849e-06,301.072938369635,43.0,100588,chinandega
2021-12-27/2022-01-02,2.760928793751538e-05,301.62919339607413,93.0,100260,chinandega
2022-01-03/2022-01-09,7.68436478226784e-06,301.64181766420677,124.0,100539,chinandega
2022-01-10/2022-01-16,4.2868554373376744e-05,301.2911911445084,108.0,100366,chinandega
2022-01-17/2022-01-23,1.0843977616934308e-05,301.6436282585572,133.0,100851,chinandega
2022-01-24/2022-01-30,6.61496974570236e-05,300.92566644296636,140.0,100529,chinandega
2022-01-31/2022-02-06,0.0003322192500560594,301.7303100381519,140.0,100569,chinandega
2022-02-07/2022-02-13,3.598873961079339e-05,302.57130770378086,85.0,100225,chinandega
2022-02-14/2022-02-20,2.0186775399530675e-05,302.3952942921157,72.0,100467,chinandega
2022-02-21/2022-02-27,6.720718415677946e-05,302.77006591200575,58.0,100946,chinandega
2022-02-28/2022-03-06,0.00015882630086204544,302.49738135364044,76.0,100081,chinandega
2022-03-07/2022-03-13,0.0003345357457422709,303.32553356951047,58.0,100097,chinandega
2022-03-14/2022-03-20,0.0002650784842846897,303.47646815052013,57.0,100825,chinandega
2022-03-21/2022-03-27,0.00011763575457565742,303.3288913814969,49.0,100480,chinandega
2022-03-28/2022-04-03,0.0007026720675349282,302.7655842529329,59.0,100120,chinandega
2022-04-04/2022-04-10,7.189319462967183e-05,304.00215936423984,61.0,100302,chinandega
2022-04-11/2022-04-17,0.0036243428135236296,301.931538143558,76.0,100667,chinandega
2022-04-18/2022-04-24,0.007014455207432391,300.7470666979494,83.0,100420,chinandega
2022-04-25/2022-05-01,0.008191005748714847,300.92650421144907,79.0,100602,chinandega
2022-05-02/2022-05-08,0.005341839513273558,300.7829420675144,121.0,100495,chinandega
2022-05-09/2022-05-15,0.010580363023985984,300.43203752770535,127.0,100925,chinandega
2022-05-16/2022-05-22,0.02282836590532989,299.14119014618296,116.0,100960,chinandega
2022-05-23/2022-05-29,0.013581542787763703,298.73348307449345,107.0,100070,chinandega
2022-05-30/2022-06-05,0.025340469355200946,298.34585895886573,155.0,100899,chinandega
2022-06-06/2022-06-12,0.02814664650862164,298.25873734471526,132.0,100833,chinandega
2022-06-13/2022-06-19,0.009817320320527104,299.0264681233073,171.0,100117,chinandega
2022-06-20/2022-06-26,0.0019301504678115983,300.2958128450197,167.0,100802,chinandega
2022-06-27/2022-07-03,0.004699905589306246,300.3970210009289,211.0,100599,chinandega
2022-07-04/2022-07-10,0.005098505715530015,300.4498007223561,141.0,100043,chinandega
2022-07-11/2022-07-17,0.004290670041292413,301.2729339386646,140.0,100417,chinandega
2022-07-18/2022-07-24,0.004575208720434965,300.2757105243786,165.0,100903,chinandega
2022-07-25/2022-07-31,0.0006745035935027432,300.89837713609893,214.0,100049,chinandega
2022-08-01/2022-08-07,0.010054302300770033,300.064444897172,202.0,100467,chinandega
2022-08-08/2022-08-14,0.007537108837082552,299.62750879269726,299.0,100319,chinandega
2022-08-15/2022-08-21,0.01171064492997862,299.31762527317454,252.0,100474,chinandega
2022-08-22/2022-08-28,0.022309999617077494,298.6425407012611,246.0,100586,chinandega
2022-08-29/2022-09-04,0.007518754122259184,299.71255065431455,191.0,100332,chinandega
2022-09-05/2022-09-11,0.019077053424800375,298.8966392940298,166.0,100162,chinandega
2022-09-12/2022-09-18,0.014194971608698573,298.40259419174987,197.0,100773,chinandega
2022-09-19/2022-09-25,0.03443014409240227,298.22809480062404,194.0,100948,chinandega
2022-09-26/2022-10-02,0.005520921164751179,299.48510287125674,190.0,100920,chinandega
2022-10-03/2022-10-09,0.0333545019019476,298.47563482462033,199.0,100354,chinandega
2022-10-10/2022-10-16,0.006710688719796262,299.33208702612757,211.0,100788,chinandega
2022-10-17/2022-10-23,0.001441425740567833,299.839557375837,236.0,100672,chinandega
2022-10-24/2022-10-30,0.005424034045939295,299.38208125020003,221.0,100408,chinandega
2022-10-31/2022-11-06,0.009506680389215654,298.36444889917345,188.0,100005,chinandega
2019-10-14/2019-10-20,0.007835815137275711,294.7538740117746,369.0,100222,esteli
2019-10-21/2019-10-27,0.002647164915774058,295.03575807650003,382.0,100702,esteli
